Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
52196-128_S7,52196-128,2017SEP13-05,Female,L22,L,WA,2019,SRKW,2017,9,13,48.45379,123.04847,chinook,chinook
52196-156_S9,52196-156,2017SEP19-10,Female,J35,J,WA,2019,SRKW,2017,9,19,47.88268,122.37001,coho,coho
52196-157_S19,52196-157,2017SEP19-12A,Female,J35,J,WA,2019,SRKW,2017,9,19,47.88801,122.37806,coho,coho
52196-158_S31,52196-158,2017SEP19-13,Female,L25,L,WA,2019,SRKW,2017,9,19,47.88801,122.37806,coho,coho
52196-155_S84,52196-155,2017SEP19-03,Male,L92,L,WA,2019,SRKW,2017,9,19,47.85363,122.38551,chum,chum
2017Sep19-04_S54,52196-050,2017Sep19-04,Undetermined,L86 ,L,WA,2018,SRKW,2017,9,19,47.715602,122.47593,coho,coho
52389-1_S3,52389-01,13Nov2019-6,Male,J49,J,WA,2021P2,SRKW,2019,11,13,47.715602,122.47593,chum,chum
52389-10_S8,52389-10,2020Nov29-01A,Male,52389-5,J,WA,2021P2,SRKW,2020,11,29,47.715602,122.47593,chum,chum
52389-11_S9,52389-11,MS2019Nov12.05B,Male,J44,J,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,chum,chum
52389-19_13,52389-19,11-24-19 event #1,Male,J44,J,WA,2021P2,SRKW,2019,11,24,47.715602,122.47593,NA,None
52389-20_S14,52389-20,11-24-19 event #1,Male,J44,J,WA,2021P2,SRKW,2019,11,24,47.715602,122.47593,chum,chum
52389-28_S16,52389-28,2019Dec18-#3,Male,J42,J,WA,2021P2,SRKW,2019,12,18,47.715602,122.47593,chum,chum
52389-29_S17,52389-29,2019Dec18-#2,Male,52389-29,"J,K,L",WA,2021P2,SRKW,2019,12,18,47.715602,122.47593,chinook,chinook
52389-3_S4,52389-03,MS2019Nov12.05A,Male,J44,J,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,chum,chum
52389-30_S76,52389-30,11-24-19 #3,Male,J44,J,WA,2021P1,SRKW,2019,11,24,47.715602,122.47593,chum,chum
52389-4_S5,52389-04,MS2019Nov12.06,Male,J49,J,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,NA,None
52389-5_S6,52389-05,2020Nov29-0113,Male,52389-5,J,WA,2021P2,SRKW,2020,11,29,47.715602,122.47593,chum,chum
52389-6_S7,52389-06,MS2019Nov12.04,Female,J46,J,WA,2021P2,SRKW,2019,11,12,47.715602,122.47593,chum,chum
MS2017Nov06-04_S63,52196-069,MS2017Nov06-04,Undetermined,unknown,unknown,WA,2018,SRKW,2017,11,6,47.715602,122.47593,chum,chum
MS2017Nov06-05_S3,52196-070,MS2017Nov06-05,Undetermined,unknown,unknown,WA,2018,SRKW,2017,11,6,47.715602,122.47593,chum,chum
MS2017Nov08-01_S12,52196-071,MS2017Nov08-01,Undetermined,K42,K,WA,2018,SRKW,2017,11,8,47.715602,122.47593,chum,chum
MS2017Nov08-02_S21,52196-072,MS2017Nov08-02,Undetermined,K42,K,WA,2018,SRKW,2017,11,8,47.715602,122.47593,chum,chum
MS2017Nov22-01_S30,52196-073,MS2017Nov22-01,Undetermined,K16,K,WA,2018,SRKW,2017,11,22,47.715602,122.47593,chum,chum
2017Mar31-01_S1,52196-043,2017Mar31-01,Undetermined,J17,J,WA,2018,SRKW,2017,3,31,48.152243,122.71428,chinook,chinook
2017Mar31-01rep_S10,52196-043,2017Mar31-01,Undetermined,J17,J,WA,2018,SRKW,2017,3,31,48.152243,122.71428,chinook,chinook
52196-170_S22,52196-170,2017SEP23-02,Female,L86,L,WA,2019,SRKW,2017,9,23,48.50726,122.75874,chinook,chinook
2017Sep23-03_S2,52196-052,2017Sep23-03,Undetermined,L87,L,WA,2018,SRKW,2017,9,23,48.72477,122.780677,chinook,chinook
2017Sep23-07_S11,52196-053,2017Sep23-07,Undetermined,J42,J,WA,2018,SRKW,2017,9,23,48.72477,122.780677,chum,chum
2017Sep23-07rep_S20,52196-053,2017Sep23-07,Undetermined,J42,J,WA,2018,SRKW,2017,9,23,48.72477,122.780677,chum,chum
2017Sep23-14_S29,52196-055,2017Sep23-14,Male,L106,L,WA,2018,SRKW,2017,9,23,48.72477,122.780677,chinook,chinook
52196-173_S23,52196-173,2017SEP23-05A,Female,J42,J,WA,2019,SRKW,2017,9,23,48.4398,122.79254,chum,chum
52196-174_S34,52196-174,2017SEP23-06,Female,J42,J,WA,2019,SRKW,2017,9,23,48.42145,122.80965,chum,chum
52196-207_S25,52196-207,2018SEP12-02,Female,NA,unknown,WA,2019,SRKW,2018,9,12,48.40966,122.84057,chinook,chinook
52196-175_S45,52196-175,2017SEP23-10,Male,NA,unknown,WA,2019,SRKW,2017,9,23,48.415,122.88344,chinook,chinook
52196-150_S41,52196-150,2017SEP11-06,Male,L89,L,WA,2019,SRKW,2017,9,11,48.4,122.9,chinook,chinook
52196-176_S56,52196-176,2017SEP23-11,Female,L47,L,WA,2019,SRKW,2017,9,23,48.42449,122.92717,chinook,chinook
52196-190_S46,52196-190,2017SEP26-06,Female,L86,L,WA,2019,SRKW,2017,9,26,48.89504,122.96215,chinook,chinook
52196-190rep_S33,52196-190,2017SEP26-06,Female,L86,L,WA,2019,SRKW,2017,9,26,48.89504,122.96215,chinook,chinook
52196-189_S35,52196-189,2017SEP26-05,fail,L86,L,WA,2019,SRKW,2017,9,26,48.89803,122.97893,chinook,chinook
52196-129_S17,52196-129,2017SEP13-06,Female,L22,L,WA,2019,SRKW,2017,9,13,48.40989,122.98726,chinook,chinook
52196-205_S3,52196-205,2018SEP25-03,Male,J49,J,WA,2019,SRKW,2018,9,25,48.21338,122.98989,coho,None
52196-188_S24,52196-188,2017SEP26-04,Female,L86,L,WA,2019,SRKW,2017,9,26,48.90693,123.01922,chinook,chinook
52196-152_S63,52196-152,2017SEP11-09,Male,L85,L,WA,2019,SRKW,2017,9,11,48.45519,123.02197,chinook,chinook
52196-177_S66,52196-177,2017SEP23-12,Female,L47,L,WA,2019,SRKW,2017,9,23,48.44903,123.03739,chinook,chinook
52196-151_S52,52196-151,2017SEP11-08,Female,NA,unknown,WA,2019,SRKW,2017,9,11,48.38727,123.0387,NA,None
52196-126_S82,52196-126,2017SEP13-03,Male,L41,L,WA,2019,SRKW,2017,9,13,48.47766,123.04076,chinook,chinook
52196-153_S73,52196-153,2017SEP11-10,Male,L85,L,WA,2019,SRKW,2017,9,11,48.46548,123.06393,chinook,chinook
52196-204_S78,52196-204,2018SEP25-02   ,Male,J49,J,WA,2019,SRKW,2018,9,25,48.45262,123.06938,coho,None
52196-178_S77,52196-178,2017SEP23-13,Female,L86,L,WA,2019,SRKW,2017,9,23,48.46267,123.0768,chinook,chinook
52196-145_S18,52196-145,2017SEP24-26,Female,J19,J,WA,2019,SRKW,2017,9,24,48.60233,123.07803,chinook,chinook
52196-145rep_S74,52196-145,2017SEP24-26,Female,J19,J,WA,2019,SRKW,2017,9,24,48.60233,123.07803,chinook,chinook
52196-198_S57,52196-198,2018JUN12-02,fail,L115,L,WA,2019,SRKW,2018,6,12,48.66377,123.08259,chinook,chinook
52196-198rep_S44,52196-198,2018JUN12-02,fail,L115,L,WA,2019,SRKW,2018,6,12,48.66377,123.08259,chinook,chinook
52196-198repB_S76,52196-198,2018JUN12-02,fail,L115,L,WA,2019,SRKW,2018,6,12,48.66377,123.08259,chinook,chinook
52196-131_S40,52196-131,2017SEP13-12A,Male,52196-131,unknown,WA,2019,SRKW,2017,9,13,48.47766,123.08956,chinook,chinook
52196-148_S30,52196-148,2017SEP10-12,Female,L55,L,WA,2019,SRKW,2017,9,10,48.48,123.09664,chinook,chinook
52196-148rep_S85,52196-148,2017SEP10-12,Female,L55,L,WA,2019,SRKW,2017,9,10,48.48,123.09664,chinook,chinook
52196-130_S29,52196-130,2017SEP13-11,Male,52196-130,unknown,WA,2019,SRKW,2017,9,13,48.47975,123.09732,chinook,chinook
52196-161_S42,52196-161,2017SEP21-06,fail,fail,unknown,WA,2019,SRKW,2017,9,21,48.97225,123.11713,chinook,chinook
52196-144_S8,52196-144,2017SEP24-25,Male,L87,L,WA,2019,SRKW,2017,9,24,48.69287,123.12927,chum,chum
52196-202_S67,52196-202,2018SEP23-02A,fail,J53,J,WA,2019,SRKW,2018,9,23,48.5309,123.1653,chum,chum
52196-162_S53,52196-162,2017SEP22-05,Female,L113,L,WA,2019,SRKW,2017,9,22,48.29802,123.16637,chinook,chinook
52196-163_S1,52196-163,2017SEP22-06,fail,L113,L,WA,2019,SRKW,2017,9,22,48.28417,123.18365,chinook,chinook
52196-163b_S64,52196-163,2017SEP22-06,fail,L113,L,WA,2019,SRKW,2017,9,22,48.28417,123.18365,chinook,chinook
52196-163rep_S11,52196-163,2017SEP22-06,fail,L113,L,WA,2019,SRKW,2017,9,22,48.28417,123.18365,chinook,chinook
2017Sep10-02_S19,2017Sep10-02,2017Sep10-02,Male,L106,L,WA,2018,SRKW,2017,9,10,48.556775,123.230931,chinook,chinook
2017Sep10-06_S28,52196-045,2017Sep10-06,Undetermined,L116,L,WA,2018,SRKW,2017,9,10,48.556775,123.230931,chinook,chinook
2017Sep10-11_S37,52196-046,2017Sep10-11,Undetermined,L118,L,WA,2018,SRKW,2017,9,10,48.556775,123.230931,chum,chum
